x,rho,P,u
-0.0695695695695696,0.700671005422569,0.607742775302836,0.406266884103523
-0.0685685685685686,0.695383077213725,0.60133123707927,0.414608559111865
-0.0675675675675676,0.690127123482098,0.594977763739219,0.422950234120206
-0.0665665665665666,0.684902999003112,0.588681916408219,0.431291909128548
-0.0655655655655656,0.679710558992585,0.582443258869564,0.43963358413689
-0.0645645645645646,0.674549659106063,0.576261357552204,0.447975259145231
-0.0635635635635636,0.669420155438151,0.570135781518709,0.456316934153573
-0.0625625625625626,0.664321904521847,0.564066102453239,0.464658609161915
-0.0615615615615616,0.659254763327866,0.558051894649571,0.473000284170256
-0.0605605605605606,0.65421858926398,0.552092734999154,0.481341959178598
-0.0595595595595596,0.649213240174343,0.546188202979206,0.48968363418694
-0.0585585585585586,0.644238574338824,0.540337880640836,0.498025309195281
-0.0575575575575576,0.639294450472339,0.53454135259722,0.506366984203623
-0.0565565565565566,0.634380727724183,0.528798206011798,0.514708659211965
-0.0555555555555556,0.629497265677358,0.523108030586511,0.523050334220306
-0.0545545545545546,0.624643924347908,0.517470418550083,0.531392009228648
-0.0535535535535536,0.619820564184247,0.511884964646328,0.53973368423699
-0.0525525525525526,0.615027046066492,0.506351266122495,0.548075359245331
-0.0515515515515515,0.610263231305794,0.500868922717657,0.556417034253673
-0.0505505505505505,0.60552898164367,0.495437536651127,0.564758709262015
-0.0495495495495495,0.600824159251332,0.490056712610914,0.573100384270356
-0.0485485485485486,0.596148626729019,0.484726057742213,0.581442059278698
-0.0475475475475475,0.591502247105332,0.479445181635938,0.58978373428704
-0.0465465465465465,0.586884883836558,0.474213696317274,0.598125409295381
-0.0455455455455455,0.582296400806009,0.469031216234286,0.606467084303723
-0.0445445445445445,0.577736662323347,0.463897358246549,0.614808759312065
-0.0435435435435435,0.573205533123917,0.458811741613816,0.623150434320407
-0.0425425425425425,0.568702878368082,0.453773987984727,0.631492109328748
-0.0415415415415415,0.56422856364055,0.448783721385547,0.63983378433709
-0.0405405405405405,0.559782454949704,0.443840568208943,0.648175459345431
-0.0395395395395395,0.555364418726939,0.438944157202798,0.656517134353773
-0.0385385385385385,0.550974321825989,0.434094119459056,0.664858809362115
-0.0375375375375375,0.546612031522257,0.429290088402601,0.673200484370457
-0.0365365365365365,0.54227741551215,0.424531699780181,0.681542159378798
-0.0355355355355355,0.53797034191241,0.419818591649356,0.68988383438714
-0.0345345345345345,0.533690679259441,0.415150404367488,0.698225509395482
-0.0335335335335335,0.529438296508644,0.410526780580762,0.706567184403823
-0.0325325325325325,0.525213063033748,0.405947365213246,0.714908859412165
-0.0315315315315315,0.521014848626139,0.401411805455979,0.723250534420507
-0.0305305305305305,0.516843523494195,0.396919750756104,0.731592209428848
-0.0295295295295295,0.512698958262614,0.39247085280603,0.73993388443719
-0.0285285285285285,0.508581023971743,0.388064765532624,0.748275559445532
-0.0275275275275275,0.504489592076917,0.383701145086447,0.756617234453873
-0.0265265265265265,0.500424534447784,0.379379649831021,0.764958909462215
-0.0255255255255255,0.496385723367636,0.375099940332127,0.773300584470557
-0.0245245245245245,0.492373031532745,0.370861679347143,0.781642259478898
-0.0235235235235235,0.48838633205169,0.366664531814414,0.78998393448724
-0.0225225225225225,0.484425498444689,0.362508164842654,0.798325609495582
-0.0215215215215215,0.48049040464293,0.358392247700389,0.806667284503923
-0.0205205205205205,0.476580924987906,0.354316451805427,0.815008959512265
-0.0195195195195195,0.47269693423074,0.350280450714366,0.823350634520607
-0.0185185185185185,0.468838307531521,0.346283920112138,0.831692309528948
-0.0175175175175175,0.465004920458635,0.34232653780158,0.84003398453729
-0.0165165165165165,0.461196648988092,0.338407983693051,0.848375659545632
-0.0155155155155155,0.457413369502861,0.334527939794067,0.856717334553973
-0.0145145145145145,0.453654958792203,0.33068609019899,0.865059009562315
-0.0135135135135135,0.449921294050996,0.326882121078727,0.873400684570657
-0.0125125125125125,0.446212252879071,0.323115720670487,0.881742359578998
-0.0115115115115115,0.442527713280544,0.319386579267556,0.89008403458734
-0.0105105105105105,0.438867553663142,0.315694389209107,0.898425709595682
-0.00950950950950951,0.435231652837539,0.312038844870054,0.906767384604024
-0.00850850850850851,0.431619890016688,0.308419642650926,0.915109059612365
-0.00750750750750751,0.428032144815145,0.304836480967787,0.923450734620707
-0.00650650650650651,0.426319428178495,0.303130178050647,0.92745262004895
-0.00550550550550551,0.426319428178495,0.303130178050647,0.92745262004895
-0.0045045045045045,0.426319428178495,0.303130178050647,0.92745262004895
-0.0035035035035035,0.426319428178495,0.303130178050647,0.92745262004895
-0.0025025025025025,0.426319428178495,0.303130178050647,0.92745262004895
-0.0015015015015015,0.426319428178495,0.303130178050647,0.92745262004895
-0.0005005005005005,0.426319428178495,0.303130178050647,0.92745262004895
0.0005005005005005,0.426319428178495,0.303130178050647,0.92745262004895
0.0015015015015015,0.426319428178495,0.303130178050647,0.92745262004895
