x,rho,u,P,e, ,rho_ref,u_ref,P_ref,e_ref
0.865,0.5,2.7225e-11,0.571,2.855,2.15313e-11,0.5,0.0,0.571,2.855
0.87,0.5,3.98543e-12,0.571,2.855,3.15194e-12,0.5,0.0,0.571,2.855
0.875,0.5,5.81846e-13,0.571,2.855,4.60162e-13,0.5,0.0,0.571,2.855
0.88,0.5,8.46548e-14,0.571,2.855,6.69506e-14,0.5,0.0,0.571,2.855
0.885,0.5,1.22124e-14,0.571,2.855,9.65835e-15,0.5,0.0,0.571,2.855
0.89,0.5,1.73923e-15,0.571,2.855,1.37549e-15,0.5,0.0,0.571,2.855
0.895,0.5,2.26856e-16,0.571,2.855,1.79413e-16,0.5,0.0,0.571,2.855
0.9,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.905,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.91,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.915,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.92,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.925,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.93,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.935,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.94,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.945,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.95,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.955,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.96,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.965,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.97,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.975,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.98,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.985,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.99,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.995,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
1.0,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
